funding_rounds,funding_total_usd,first_milestone_at,last_milestone_at,milestones,relationships,lat,lng,founded_year,category_advertising,category_analytics,category_ecommerce,category_education,category_enterprise,category_games_video,category_mobile,category_other,category_social,category_software,category_web,category_automotive,category_biotech,category_cleantech,category_consulting,category_design,category_fashion,category_finance,category_government,category_hardware,category_health,category_hospitality,category_legal,category_local,category_manufacturing,category_medical,category_messaging,category_music,category_nanotech,category_network_hosting,category_news,category_nonprofit,category_pets,category_photo_video,category_public_relations,category_real_estate,category_search,category_security,category_semiconductor,category_sports,category_transportation,category_travel,country_code_generalized,country_CAN,country_DEU,country_ESP,country_FRA,country_GBR,country_IRL,country_ISR,country_NLD,country_RUS,country_USA,country_other,isClosed,active_years,active_days,target,first_funding_days,last_funding_days
1.0,500000.0,2007,2011,2.0,6.0,37.7749295,-122.4194155,2007,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,14.0,5110.0,1,4924.0,4924.0
1.0,100000.0,2011,2011,2.0,1.0,35.2270869,-80.8431267,2011,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,10.0,3650.0,1,6079.0,6079.0
2.0,1750000.0,2007,2010,2.0,3.0,41.8781136,-87.6297982,2007,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,USA,0,0,0,0,0,0,0,0,0,1,0,0,12.133344803854095,4015.0,0,4998.0,5759.0
1.0,150000.0,2008,2008,1.0,2.0,34.0522342,-118.2436849,2007,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,14.0,5110.0,1,4559.0,4559.0
1.0,1100000.0,2008,2010,2.0,3.0,37.7749295,-122.4194155,2007,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,0,12.133344803854095,4015.0,0,4984.0,4984.0
1.0,50000.0,2008,2008,1.0,1.0,40.7127753,-74.0059728,2008,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,13.0,4745.0,1,6110.0,6110.0
1.0,1200000.0,2012,2013,3.0,9.0,40.7127753,-74.0059728,2011,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,USA,0,0,0,0,0,0,0,0,0,1,0,0,12.133344803854095,4015.0,0,6462.0,6462.0
1.0,138000.0,2011,2012,2.0,7.0,47.1,8.81667,2011,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,0,0,0,0,0,0,0,0,0,0,1,0,12.133344803854095,4015.0,0,6140.0,6140.0
2.0,1300000.0,2009,2009,1.0,3.0,47.6062095,-122.3320708,2008,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,13.0,4745.0,1,5395.0,5752.0
1.0,3000000.0,2008,2013,3.0,4.0,32.068424,34.824785,2008,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ISR,0,0,0,0,0,0,1,0,0,0,0,1,13.0,4745.0,1,5045.0,5045.0
2.0,21189.0,2011,2011,1.0,2.0,37.4418834,-122.1430195,2011,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,0,12.133344803854095,4015.0,0,6267.0,6549.0
1.0,1000000.0,2004,2004,1.0,1.0,37.7749295,-122.4194155,1998,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,23.0,8395.0,1,6018.0,6018.0
1.0,895000.0,2011,2011,1.0,3.0,37.7749295,-122.4194155,2011,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,10.0,3650.0,1,6584.0,6584.0
3.0,3242399.0,2007,2007,1.0,2.0,52.205337,0.121817,2007,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GBR,0,0,0,0,1,0,0,0,0,0,0,1,14.0,5110.0,1,4649.0,5563.0
1.0,1616176.0,2004,2004,1.0,2.0,45.4383842,10.9916215,2004,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,17.0,6205.0,1,6408.0,6408.0
3.0,2475000.0,2010,2010,1.0,2.0,44.519159,-88.019826,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,11.0,4015.0,1,5954.0,6838.0
1.0,509412.0,2009,2009,1.0,3.0,37.3229978,-122.0321823,2008,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,0,12.133344803854095,4015.0,0,4924.0,4924.0
1.0,1700000.0,2012,2012,2.0,7.0,40.7127753,-74.0059728,2012,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,9.0,3285.0,1,7006.0,7006.0
1.0,900000.0,2011,2011,1.0,3.0,41.0082376,28.9783589,2011,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,other,0,0,0,0,0,0,0,0,0,0,1,1,10.0,3650.0,1,6274.0,6274.0
1.0,50000.0,2008,2011,2.0,2.0,32.7766642,-96.7969879,2008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,13.0,4745.0,1,6702.0,6702.0
2.0,4000000.0,2009,2009,1.0,6.0,37.7749295,-122.4194155,2007,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,0,12.133344803854095,4015.0,0,5372.0,5654.0
1.0,8700000.0,2012,2013,2.0,5.0,37.5585465,-122.2710788,2009,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,12.0,4380.0,1,6954.0,6954.0
1.0,4000000.0,2011,2011,1.0,5.0,39.1637984,-119.7674034,2003,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,18.0,6570.0,1,6934.0,6934.0
2.0,5694085.0,2009,2009,1.0,2.0,48.856614,2.3522219,2009,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FRA,0,0,0,1,0,0,0,0,0,0,0,1,12.0,4380.0,1,6275.0,6898.0
1.0,1200000.0,2013,2013,1.0,3.0,37.7749295,-122.4194155,2011,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,10.0,3650.0,1,6051.0,6051.0
2.0,3915000.0,2010,2011,2.0,9.0,40.7127753,-74.0059728,2008,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,0,12.133344803854095,4015.0,0,5673.0,6018.0
1.0,811057.0,2007,2007,1.0,4.0,55.945668,-3.992534,2007,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GBR,0,0,0,0,1,0,0,0,0,0,0,1,14.0,5110.0,1,5655.0,5655.0
1.0,2454.0,2010,2010,1.0,3.0,41.8781136,-87.6297982,2010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,11.0,4015.0,1,6201.0,6201.0
1.0,7843200.0,2012,2013,2.0,3.0,32.7766642,-96.7969879,2001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USA,0,0,0,0,0,0,0,0,0,1,0,1,20.0,7300.0,1,6870.0,6870.0
